file,Column2,name,chinese_desc
defenderg,Chinese Name,防卫者 (Green 标签),"卫士是一个传奇的侧滚动射击--这是它的第一个类型--它的目的是驾驶一艘激光发射的太空船，保护被困在地球表面的人形生物免受成群的外星绑架者的伤害。

屏幕顶部的远程扫描仪显示了类人和攻击外星人的位置。理想的策略是在外星飞船到达人形之前击落它们。如果人形被捕获，外星绑架者仍然可以被摧毁，但玩家必须抓住坠落的人形，并在它坠落死亡之前将其送回地球表面的安全。

如果一个外星人被允许把受害者带到屏幕的最顶端，人形就会变异，成为捕获它的外星人的永久部分。这种新的致命突变将立即加入外星人的攻击。

随着行动的进展，挑战变得更加激烈。战斗机舰艇和它们的地雷很快就会加入绑架者的行列。还有一些母舰必须被摧毁；这些特别困难，因为直接击中将母舰撞成了蜂拥而至的小型舰，这些小型舰也必须被消灭。在整个任务中，玩家必须迅速行动，否则可能面临宇宙诱饵的破坏，一个快速而危险的敌人。

玩家有两个逃生选择作为最后的手段。第一个是“智能炸弹”，它摧毁了所有屏幕上的敌人。第二个选项是“超空间”，它随机地将玩家的船传送到水平的另一部分。这是非常危险的，因为它可能会使玩家的船处于比它离开的船更危险的位置。

如果所有的类人体都被成功绑架，这颗行星将在令人目眩的闪光中爆炸，直到下一颗行星到达之前剩余的波将在外太空发生，而且只包括摧毁敌人的波。"
defenderj,Chinese Name,T.T 防卫者 ,"卫士是一个传奇的侧滚动射击--这是它的第一个类型--它的目的是驾驶一艘激光发射的太空船，保护被困在地球表面的人形生物免受成群的外星绑架者的伤害。

屏幕顶部的远程扫描仪显示了类人和攻击外星人的位置。理想的策略是在外星飞船到达人形之前击落它们。如果人形被捕获，外星绑架者仍然可以被摧毁，但玩家必须抓住坠落的人形，并在它坠落死亡之前将其送回地球表面的安全。

如果一个外星人被允许把受害者带到屏幕的最顶端，人形就会变异，成为捕获它的外星人的永久部分。这种新的致命突变将立即加入外星人的攻击。

随着行动的进展，挑战变得更加激烈。战斗机舰艇和它们的地雷很快就会加入绑架者的行列。还有一些母舰必须被摧毁；这些特别困难，因为直接击中将母舰撞成了蜂拥而至的小型舰，这些小型舰也必须被消灭。在整个任务中，玩家必须迅速行动，否则可能面临宇宙诱饵的破坏，一个快速而危险的敌人。

玩家有两个逃生选择作为最后的手段。第一个是“智能炸弹”，它摧毁了所有屏幕上的敌人。第二个选项是“超空间”，它随机地将玩家的船传送到水平的另一部分。这是非常危险的，因为它可能会使玩家的船处于比它离开的船更危险的位置。

如果所有的类人体都被成功绑架，这颗行星将在令人目眩的闪光中爆炸，直到下一颗行星到达之前剩余的波将在外太空发生，而且只包括摧毁敌人的波。"
defenderw,Chinese Name,防卫者 (White 标签),"卫士是一个传奇的侧滚动射击--这是它的第一个类型--它的目的是驾驶一艘激光发射的太空船，保护被困在地球表面的人形生物免受成群的外星绑架者的伤害。

屏幕顶部的远程扫描仪显示了类人和攻击外星人的位置。理想的策略是在外星飞船到达人形之前击落它们。如果人形被捕获，外星绑架者仍然可以被摧毁，但玩家必须抓住坠落的人形，并在它坠落死亡之前将其送回地球表面的安全。

如果一个外星人被允许把受害者带到屏幕的最顶端，人形就会变异，成为捕获它的外星人的永久部分。这种新的致命突变将立即加入外星人的攻击。

随着行动的进展，挑战变得更加激烈。战斗机舰艇和它们的地雷很快就会加入绑架者的行列。还有一些母舰必须被摧毁；这些特别困难，因为直接击中将母舰撞成了蜂拥而至的小型舰，这些小型舰也必须被消灭。在整个任务中，玩家必须迅速行动，否则可能面临宇宙诱饵的破坏，一个快速而危险的敌人。

玩家有两个逃生选择作为最后的手段。第一个是“智能炸弹”，它摧毁了所有屏幕上的敌人。第二个选项是“超空间”，它随机地将玩家的船传送到水平的另一部分。这是非常危险的，因为它可能会使玩家的船处于比它离开的船更危险的位置。

如果所有的类人体都被成功绑架，这颗行星将在令人目眩的闪光中爆炸，直到下一颗行星到达之前剩余的波将在外太空发生，而且只包括摧毁敌人的波。"
defense,Chinese Name,"SDI - 守护者 (System 16B, FD1089A 317-0028)",战略防御计划是攻防战科学中的一项战略挑战。
deltrace,Chinese Name,欧米加射击 Delta Race ,"欧米茄比赛是一个基于矢量的单屏射击设置在2003年，欧米茄系统开发了一种训练战士的方法，以保护他们的恒星殖民地免受入侵的外星机器人。玩家必须驾驶欧米茄太空战斗机来交战并摧毁外星人和他们埋下的地雷。

欧米茄战斗机可以360度旋转和推力向前移动，它还配备了前射激光，可以射击敌舰。战斗发生在一个封闭的区域，当玩家的船到达屏幕边缘时，它就会从一个看不见的障碍物上弹出，尽管障碍物在击中或射击时短暂出现。

除了向玩家发射激光外，一些敌舰还投下了必须射击或避免的地雷。随着玩家在海浪中前进，敌人袭击者的数量和他们的攻击性也会增加。"
deluxe4u,Chinese Name,"精装4U (版本. 0107, 07/01/2000)",五场激动人心的比赛一成不合：21点，宾果游戏，搜索点，庞和陆地切割机。
deluxe5,Chinese Name,"精装5 (版本. 0107, 07/01/2000, 第 1 套)",五场激动人心的比赛一成不合：21点，宾果游戏，搜索点，庞和陆地切割机。
deluxe5a,Chinese Name,"精装5 (版本. 0107, 07/01/2000, 第 2 套)",五场激动人心的比赛一成不合：21点，宾果游戏，搜索点，庞和陆地切割机。
deluxe5b,Chinese Name,"精装5 (版本. 0107, 07/01/2000, 第 3 套)",五场激动人心的比赛一成不合：21点，宾果游戏，搜索点，庞和陆地切割机。
demoderb,Chinese Name,德贝冲撞赛车 ,在拆迁德比中驾驶你的车，避免被击中散热器。在散热器里撞上其他车几次，使它们爆炸。收集扳手、螺丝刀和车钥匙，以获得奖金。
demoderbc,Chinese Name,德贝冲撞赛车 (平躺机台),在拆迁德比中驾驶你的车，避免被击中散热器。在散热器里撞上其他车几次，使它们爆炸。收集扳手、螺丝刀和车钥匙，以获得奖金。
demoderm,Chinese Name,德贝冲撞赛车 (MCR-3 Mono Board 版本),在拆迁德比中驾驶你的车，避免被击中散热器。在散热器里撞上其他车几次，使它们爆炸。收集扳手、螺丝刀和车钥匙，以获得奖金。
demonwld,Chinese Name,步步惊魂 (第 1 套),恶魔的世界，在日本发行的“恐怖故事”，是一个平台街机游戏，由Toaplan开发，由Taito出版于1989年。此游戏是多区域的，这意味着它可以通过DIP开关为不同区域配置。这些设置更改法律警告，可以显示台东许可消息，并可以在英文版（恶魔世界）和日文版（恐怖故事）之间更改标题。
demonwld1,Chinese Name,步步惊魂 (第 2 套),恶魔的世界，在日本发行的“恐怖故事”，是一个平台街机游戏，由Toaplan开发，由Taito出版于1989年。此游戏是多区域的，这意味着它可以通过DIP开关为不同区域配置。这些设置更改法律警告，可以显示台东许可消息，并可以在英文版（恶魔世界）和日文版（恐怖故事）之间更改标题。
demonwld2,Chinese Name,步步惊魂 (第 3 套),恶魔的世界，在日本发行的“恐怖故事”，是一个平台街机游戏，由Toaplan开发，由Taito出版于1989年。此游戏是多区域的，这意味着它可以通过DIP开关为不同区域配置。这些设置更改法律警告，可以显示台东许可消息，并可以在英文版（恶魔世界）和日文版（恐怖故事）之间更改标题。
demonwld3,Chinese Name,步步惊魂 (第 4 套),恶魔的世界，在日本发行的“恐怖故事”，是一个平台街机游戏，由Toaplan开发，由Taito出版于1989年。此游戏是多区域的，这意味着它可以通过DIP开关为不同区域配置。这些设置更改法律警告，可以显示台东许可消息，并可以在英文版（恶魔世界）和日文版（恐怖故事）之间更改标题。
demonwld4,Chinese Name,步步惊魂 (第 5 套),恶魔的世界，在日本发行的“恐怖故事”，是一个平台街机游戏，由Toaplan开发，由Taito出版于1989年。此游戏是多区域的，这意味着它可以通过DIP开关为不同区域配置。这些设置更改法律警告，可以显示台东许可消息，并可以在英文版（恶魔世界）和日文版（恐怖故事）之间更改标题。
denjinmk,Chinese Name,电神魔傀 (第 1 套),第三次世界大战多年后，一个新的国家出现了。这个国家不是由神、恶魔或人控制的，而是由一个巨大的网络系统控制的，一台超级计算机，计算机有一个名字，但我已经忘了它叫什么了。这台超级计算机控制和监控城市和里面的每个人，没有人可以逃脱或通过电脑。最近，有人出现了他们的行为无法被计算机看到或监控。这些人被称为幽灵。正因为如此，幽灵们一直在全城自由犯罪。作为回应，一个幽灵警察部队或幽灵防御部队已经成立，这个组织的成员被称为幽灵追逐者。有六个角色可供选择，他们自己独特的移动列表相当大，只有它的续集《登进马凯II：守护者》才匹配。
denjinmka,Chinese Name,电神魔傀 (第 2 套),第三次世界大战多年后，一个新的国家出现了。这个国家不是由神、恶魔或人控制的，而是由一个巨大的网络系统控制的，一台超级计算机，计算机有一个名字，但我已经忘了它叫什么了。这台超级计算机控制和监控城市和里面的每个人，没有人可以逃脱或通过电脑。最近，有人出现了他们的行为无法被计算机看到或监控。这些人被称为幽灵。正因为如此，幽灵们一直在全城自由犯罪。作为回应，一个幽灵警察部队或幽灵防御部队已经成立，这个组织的成员被称为幽灵追逐者。有六个角色可供选择，他们自己独特的移动列表相当大，只有它的续集《登进马凯II：守护者》才匹配。
deroon,Chinese Name,益智迪诺 (最初版),一个可爱而搞笑的益智游戏在普约的脉络。
deroon2,Chinese Name,古怪蛋方块 ,一个可爱而搞笑的益智游戏在普约的脉络。
deroona,Long Name,益智迪诺 (alt set),一个可爱而搞笑的益智游戏在普约的脉络。
desertbr,Chinese Name,沙漠王 (世界版) (FD1094 317-0196),在这个垂直滚动、未来主义、军事主题的3个可用角色中选择一个。各种能量可以在沿途获得，以帮助玩家在与数百名士兵和坦克的战斗中，这些士兵和坦克居住在水平。
desertbrd,Chinese Name,沙漠王 (世界版) (盗版自 FD1094 317-0196 set),在这个垂直滚动、未来主义、军事主题的3个可用角色中选择一个。各种能量可以在沿途获得，以帮助玩家在与数百名士兵和坦克的战斗中，这些士兵和坦克居住在水平。
desertbrj,Chinese Name,沙漠王 (日版) (FD1094 317-0194),在这个垂直滚动、未来主义、军事主题的3个可用角色中选择一个。各种能量可以在沿途获得，以帮助玩家在与数百名士兵和坦克的战斗中，这些士兵和坦克居住在水平。
desertbrjd,Chinese Name,沙漠王 (日版) (盗版自 FD1094 317-0194 set),在这个垂直滚动、未来主义、军事主题的3个可用角色中选择一个。各种能量可以在沿途获得，以帮助玩家在与数百名士兵和坦克的战斗中，这些士兵和坦克居住在水平。
desertdn,Chinese Name,沙漠勇士 ,一个平台游戏，你可以避开障碍物
desertwr,Chinese Name,湾岸战争 (版本 1.0),一个垂直滚动的射击游戏，任务是从敌人的战场上拯救战俘。
detatwin,Chinese Name,"出击兵蜂 (日版, 版本 J)",梅鲁星球正受到伊瓦军队的攻击。请求帮助的请求已经到达了双蜂，你必须引导他经历一个危险的旅程，穿越一个丰富多彩的世界，为恢复和平而战。这款垂直滚动拍摄游戏具有色彩斑斓的动漫风格图形、大量的电源和有趣的挑战。
devilfsh,Chinese Name,魔神鱼类 ,玩家控制着海狗，海狗必须喂魔鬼鱼，才能让它们困在迷宫的几个通道上，因为它们太胖了，无法前进。当他们被困住时，海狗必须碰他们。在那之后，迷宫的中心将出现一座小房子。触摸它，图形的一部分将显示。重复此程序，直到完整的图像被显示，海狗将移动到下一个水平。
devilfshg,Short Name,魔神鱼类 ,玩家控制着海狗，海狗必须喂魔鬼鱼，才能让它们困在迷宫的几个通道上，因为它们太胖了，无法前进。当他们被困住时，海狗必须碰他们。在那之后，迷宫的中心将出现一座小房子。触摸它，图形的一部分将显示。重复此程序，直到完整的图像被显示，海狗将移动到下一个水平。
devilfshgb,Long Name,"魔神鱼类  (Galaxian hardware, bootleg)",玩家控制着海狗，海狗必须喂魔鬼鱼，才能让它们困在迷宫的几个通道上，因为它们太胖了，无法前进。当他们被困住时，海狗必须碰他们。在那之后，迷宫的中心将出现一座小房子。触摸它，图形的一部分将显示。重复此程序，直到完整的图像被显示，海狗将移动到下一个水平。
devilw,Chinese Name,魔兽王国 Devil 世界版 ,一个挑战式的游戏。
devstors,Chinese Name,饿流祸 (版本. Z),破坏者是早期的第三人称射击者。最多两名玩家可以用乌鱼控制兰博风格的雇佣兵。
devstors2,Chinese Name,饿流祸 (版本. 2),破坏者是早期的第三人称射击者。最多两名玩家可以用乌鱼控制兰博风格的雇佣兵。
devstorsv,Chinese Name,饿流祸 (版本. V),破坏者是早期的第三人称射击者。最多两名玩家可以用乌鱼控制兰博风格的雇佣兵。
devstorsx,Chinese Name,饿流祸 (版本. X),破坏者是早期的第三人称射击者。最多两名玩家可以用乌鱼控制兰博风格的雇佣兵。
dfeveron,Chinese Name,"弹铳 (日版, 版本. 98/09/17)","梅鲁托星球是银河系中著名的强大军事力量，在格拉茨上将的指挥下派遣了一艘旗舰飞船，攻击地球，以获得银河系中最理想的原材料之一：水
在行星热上，梅鲁托和地球之间的一颗小行星计划安装一个基地，攻击船只应该从那里开始入侵地球。但在格拉茨上将的计划完成之前，一个神秘的波浪出现在太空中，混淆了梅鲁托舰队的仪器，扰乱了格拉茨上将与妻子艾琳·凯瑟琳的爱情谈话。对此，他愤怒到了如此严重的程度，以至于他迫使他的舰队降落在这波浪的源头。所以命运的车轮开始旋转..."
dfkbl,Chinese Name,怒首领蜂 - 大复活 黑标 (2010/1/18 BLACK 标签),"
这是“DoDonPachi大福津”的更新版本，有以下更改：
船只选择已更改：玩家现在选择战斗机类型，然后选择风格（炸弹、力量或强大）。现在的风格分别对应于简单、中、硬难度。然后，玩家可以选择是否使用自动炸弹。
船只现在可以同时发射激光和射击。
评分计数器的数字字母大小每5位增加一次，以便查看
增加了红色模式，一个小长条在右上角（或顶部中间时，与两个玩家一起玩），如果你同时拍摄激光和射击，它就会增加。当它超过一定的门槛时，米中的酒吧就会变成红色，当它处于红色时，游戏就会变得更加困难。当玩家死亡时，酒吧将重置，或在超端/玩家不同时拍摄激光和射击后减少。
超级计现在增加非常缓慢，除非你把“红色模式”条变成红色。此外，超级电力本身在使用后用得更快。
Hypers现在可以“收集”Power样式。继续增加Hyper电表，当电表装满时，它将像炸弹一样囤积。
激活Hyper现在显示Hyper有效性的当前“等级”，并暂时阻止项目符号。
阶段中的蜜蜂奖励项目功能不同。
如果满足某些要求，Hibachi（真正的最终老板）现在可以出现在第一个循环中。此外，最终老板太萨巴奇的难度/耐用性，现在更名为极端地狱歼灭的最高武器-黄金灾难和真正的最终老板都急剧增加。
命中组合现在计算不同。也就是说，除非你把“红色模式”条变成红色，否则命中组合不会上升得那么快。
所有的音乐都被替换了。"
dharma,Chinese Name,达摩道场 ,"益智游戏。
这个游戏的标题从日语翻译为“达鲁马道场-我将是国王！”。"
dharmag,Chinese Name,达摩道场 (德版),"益智游戏。
这个游戏的标题从日语翻译为“达鲁马道场-我将是国王！”。"
dharmaj,Chinese Name,达摩道场 (日版),"益智游戏。
这个游戏的标题从日语翻译为“达鲁马道场-我将是国王！”。"
dharmak,Chinese Name,达摩道场 (韩版),"益智游戏。
这个游戏的标题从日语翻译为“达鲁马道场-我将是国王！”。"
diamond,Chinese Name,挖钻石 ,"一个街机益智游戏，在这个游戏中，一个玩家必须通过隧道穿过许多地下洞穴，收集许多宝石分布在整个水平。每个洞穴都散落着岩石，如果它们掉到玩家身上，将导致生命损失。然而，精心策划的隧道可以被挖掘，以操纵岩石坠落的方向，这使它们成为对付许多敌人的有效武器，这些敌人在水平面上栖息。可以找到一些红色炸药，这些炸药也可以用来杀死敌人，也可以用来摧毁任何阻碍玩家路径的墙壁。同样，就像岩石一样，这些必须小心使用，以防止爆炸杀死玩家。

为了完成一个级别，必须收集指定数量的宝石。一旦收集了足够数量的宝石，一个出口将打开，玩家必须进入该出口才能进入下一个洞穴。

钻石跑是主要基于第一星的准将C64经典，'巨石Dash'。"
dicegame,Long Name,骰子游戏,
dietgo,Chinese Name,乐乐小子 (欧版 v1.1 1992.09.26),"饮食Go Go Go是一个单屏平台游戏，适合一两个玩家，目的是清除每个屏幕上的怪物，避免发胖。怪物被击败的方式是向他们扔食物，直到他们膨胀（变胖），然后触摸他们，让他们在屏幕上飞来飞去，杀死他们接触到的任何其他怪物。许多怪物也向玩家扔食物，使他们越来越胖。如果球员太胖，他们就会失去生命，尽管额外的减肥苏打水偶尔会出现，可以拿起来逆转这种效果。与没有完全充气的怪物接触是致命的。

当怪物被摧毁时，他们会留下戒指、宝石、能量和减肥滋补品。动力包括轮滑运动更快，压缩空气吹怪物和增加火力。数据东硬币也出现在每个级别上。如果玩家收集这些硬币，他们会射到屏幕顶部，在那里水果机显示屏滚动，分配宝石、电源和戒指。如果水果机的读数是777，则会出现一个额外的回合，玩家跳到云层上收集掉落的宝石，同时避免掉落的食物，从而使他们发胖。

游戏开始于一个玩家在世界地图上选择一个区域，然后通过两个级别的比赛，在第三轮到达一个巨大的老板。在老板被摧毁后，世界就完整了，游戏就会进入下一个世界。每个世界都有不同的主题和老板。"
dietgoe,Chinese Name,乐乐小子 (欧版 v1.1 1992.08.04),"饮食Go Go Go是一个单屏平台游戏，适合一两个玩家，目的是清除每个屏幕上的怪物，避免发胖。怪物被击败的方式是向他们扔食物，直到他们膨胀（变胖），然后触摸他们，让他们在屏幕上飞来飞去，杀死他们接触到的任何其他怪物。许多怪物也向玩家扔食物，使他们越来越胖。如果球员太胖，他们就会失去生命，尽管额外的减肥苏打水偶尔会出现，可以拿起来逆转这种效果。与没有完全充气的怪物接触是致命的。

当怪物被摧毁时，他们会留下戒指、宝石、能量和减肥滋补品。动力包括轮滑运动更快，压缩空气吹怪物和增加火力。数据东硬币也出现在每个级别上。如果玩家收集这些硬币，他们会射到屏幕顶部，在那里水果机显示屏滚动，分配宝石、电源和戒指。如果水果机的读数是777，则会出现一个额外的回合，玩家跳到云层上收集掉落的宝石，同时避免掉落的食物，从而使他们发胖。

游戏开始于一个玩家在世界地图上选择一个区域，然后通过两个级别的比赛，在第三轮到达一个巨大的老板。在老板被摧毁后，世界就完整了，游戏就会进入下一个世界。每个世界都有不同的主题和老板。"
dietgoea,Long Name,乐乐小子 (Euro v1.1 1992.08.04),"饮食Go Go Go是一个单屏平台游戏，适合一两个玩家，目的是清除每个屏幕上的怪物，避免发胖。怪物被击败的方式是向他们扔食物，直到他们膨胀（变胖），然后触摸他们，让他们在屏幕上飞来飞去，杀死他们接触到的任何其他怪物。许多怪物也向玩家扔食物，使他们越来越胖。如果球员太胖，他们就会失去生命，尽管额外的减肥苏打水偶尔会出现，可以拿起来逆转这种效果。与没有完全充气的怪物接触是致命的。

当怪物被摧毁时，他们会留下戒指、宝石、能量和减肥滋补品。动力包括轮滑运动更快，压缩空气吹怪物和增加火力。数据东硬币也出现在每个级别上。如果玩家收集这些硬币，他们会射到屏幕顶部，在那里水果机显示屏滚动，分配宝石、电源和戒指。如果水果机的读数是777，则会出现一个额外的回合，玩家跳到云层上收集掉落的宝石，同时避免掉落的食物，从而使他们发胖。

游戏开始于一个玩家在世界地图上选择一个区域，然后通过两个级别的比赛，在第三轮到达一个巨大的老板。在老板被摧毁后，世界就完整了，游戏就会进入下一个世界。每个世界都有不同的主题和老板。"
dietgoj,Chinese Name,乐乐小子 (日版 v1.1 1992.09.26),"饮食Go Go Go是一个单屏平台游戏，适合一两个玩家，目的是清除每个屏幕上的怪物，避免发胖。怪物被击败的方式是向他们扔食物，直到他们膨胀（变胖），然后触摸他们，让他们在屏幕上飞来飞去，杀死他们接触到的任何其他怪物。许多怪物也向玩家扔食物，使他们越来越胖。如果球员太胖，他们就会失去生命，尽管额外的减肥苏打水偶尔会出现，可以拿起来逆转这种效果。与没有完全充气的怪物接触是致命的。

当怪物被摧毁时，他们会留下戒指、宝石、能量和减肥滋补品。动力包括轮滑运动更快，压缩空气吹怪物和增加火力。数据东硬币也出现在每个级别上。如果玩家收集这些硬币，他们会射到屏幕顶部，在那里水果机显示屏滚动，分配宝石、电源和戒指。如果水果机的读数是777，则会出现一个额外的回合，玩家跳到云层上收集掉落的宝石，同时避免掉落的食物，从而使他们发胖。

游戏开始于一个玩家在世界地图上选择一个区域，然后通过两个级别的比赛，在第三轮到达一个巨大的老板。在老板被摧毁后，世界就完整了，游戏就会进入下一个世界。每个世界都有不同的主题和老板。"
dietgou,Chinese Name,乐乐小子 (美版 v1.1 1992.09.26),"饮食Go Go Go是一个单屏平台游戏，适合一两个玩家，目的是清除每个屏幕上的怪物，避免发胖。怪物被击败的方式是向他们扔食物，直到他们膨胀（变胖），然后触摸他们，让他们在屏幕上飞来飞去，杀死他们接触到的任何其他怪物。许多怪物也向玩家扔食物，使他们越来越胖。如果球员太胖，他们就会失去生命，尽管额外的减肥苏打水偶尔会出现，可以拿起来逆转这种效果。与没有完全充气的怪物接触是致命的。

当怪物被摧毁时，他们会留下戒指、宝石、能量和减肥滋补品。动力包括轮滑运动更快，压缩空气吹怪物和增加火力。数据东硬币也出现在每个级别上。如果玩家收集这些硬币，他们会射到屏幕顶部，在那里水果机显示屏滚动，分配宝石、电源和戒指。如果水果机的读数是777，则会出现一个额外的回合，玩家跳到云层上收集掉落的宝石，同时避免掉落的食物，从而使他们发胖。

游戏开始于一个玩家在世界地图上选择一个区域，然后通过两个级别的比赛，在第三轮到达一个巨大的老板。在老板被摧毁后，世界就完整了，游戏就会进入下一个世界。每个世界都有不同的主题和老板。"
digdug,Chinese Name,挖金子 (修正版 2),挖挖挖是单屏动作游戏，玩家必须挖掘水平和垂直隧道，以到达并消除居住在那里的地下怪物。这可以通过用气泵给它们充气直到它们爆炸，或者通过向它们扔石头来实现。
digdug2,Chinese Name,挖金子 II (新版.),"在1982年经典作品《挖土》的续集中，纳木错将游戏的视角从一个剖开的侧面视角转变为一个头顶视角。现在，游戏发生在一系列小岛上，游戏本身保留了它的前身，挖掘挖仍然被“Pookas”（圆形、戴护目镜的红色敌人）和“Fyger”（绿色、喷火的龙）追逐。

和第一场比赛一样，迪格·杜格仍然装备着一个泵，让他可以充气和炸开敌人。然而，在续集中，他也带着手持大锤。这可以用于分散在每个岛屿周围的圆形地块，以创建和连接地面上的断层线。如果断层系统的两端都到达水中，被断层包围的地面将沉入海洋，杀死上面的所有生物，包括如果他站在被摧毁的土地上，挖掘自己。"
digdug2o,Chinese Name,挖金子 II (旧版.),"在1982年经典作品《挖土》的续集中，纳木错将游戏的视角从一个剖开的侧面视角转变为一个头顶视角。现在，游戏发生在一系列小岛上，游戏本身保留了它的前身，挖掘挖仍然被“Pookas”（圆形、戴护目镜的红色敌人）和“Fyger”（绿色、喷火的龙）追逐。

和第一场比赛一样，迪格·杜格仍然装备着一个泵，让他可以充气和炸开敌人。然而，在续集中，他也带着手持大锤。这可以用于分散在每个岛屿周围的圆形地块，以创建和连接地面上的断层线。如果断层系统的两端都到达水中，被断层包围的地面将沉入海洋，杀死上面的所有生物，包括如果他站在被摧毁的土地上，挖掘自己。"
digdugat,Chinese Name,"挖金子 (Atari, 修正版 2)",挖挖挖是单屏动作游戏，玩家必须挖掘水平和垂直隧道，以到达并消除居住在那里的地下怪物。这可以通过用气泵给它们充气直到它们爆炸，或者通过向它们扔石头来实现。
diggerma,Chinese Name,钻地先生 (原型版),挖掘机人(c) 1999游戏室。-俗人-这个游戏窃取了许多精灵和声音从脸的“古鲁林”。-工作人员-设计者：凯尔·霍吉茨-来源-游戏的ROM。
dimahoo,Chinese Name,超级魔法大作战 (欧版 000121),游戏的背景是一个未来主义的环境，龙，小乌龟背上有激光，小绿色妖精和红眼。玩家从四个朋友中选择一个一起旅行。这两个角色在游戏中飞行，并收集物品。每个项目都有一个点值，点用于填充末尾的图表。这些物品包括：食物、剑、盔甲、靴子等。在游戏结束时，老板们变得难以置信的艰难。快速的背景为玩家创造了一种令人困惑的精神状态。
dimahoou,Chinese Name,超级魔法大作战 (美版 000121),游戏的背景是一个未来主义的环境，龙，小乌龟背上有激光，小绿色妖精和红眼。玩家从四个朋友中选择一个一起旅行。这两个角色在游戏中飞行，并收集物品。每个项目都有一个点值，点用于填充末尾的图表。这些物品包括：食物、剑、盔甲、靴子等。在游戏结束时，老板们变得难以置信的艰难。快速的背景为玩家创造了一种令人困惑的精神状态。
dimahoud,Chinese Name,超级魔法大作战 (美版 000121 凤凰版) (盗版),游戏的背景是一个未来主义的环境，龙，小乌龟背上有激光，小绿色妖精和红眼。玩家从四个朋友中选择一个一起旅行。这两个角色在游戏中飞行，并收集物品。每个项目都有一个点值，点用于填充末尾的图表。这些物品包括：食物、剑、盔甲、靴子等。在游戏结束时，老板们变得难以置信的艰难。快速的背景为玩家创造了一种令人困惑的精神状态。
dingo,Chinese Name,小熊流浪记 ,收集水果的益智游戏。
dino,Chinese Name,恐龙新世纪 (世界版 930201),凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinoa,Chinese Name,恐龙新世纪 (亚版 TW 930223),凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinods,Long Name,"恐龙新世纪(God of War Edition, Hack)",凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinoeh,Long Name,"恐龙新世纪 (hack, 930201 etc)",凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinogae,Long Name,"恐龙新世纪(GOTVG 10th Anniversary Edition, Hack)",凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinoh,Long Name,"恐龙新世纪 (bootleg set 3, 930223 Asia TW)",凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinohc,Long Name,"恐龙新世纪 (Chinese bootleg, 930223 Asia TW)",凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinohunt,Chinese Name,恐龙猎人 (中文盗版自 恐龙新世纪),凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
dinoj,Chinese Name,恐龙新世纪 (日版 930201),凯迪拉克与恐龙：拱廊游戏，在日本被称为凯迪拉克：新世纪的恐龙是1993年由Capcom发布的拱廊游戏。这是一个侧卷打'他们的基础漫画系列异生代故事。这款游戏是作为凯迪拉克和恐龙动画系列的搭配制作的，该系列在游戏发布的同年播出。
